date,startup,vertical,subvertical,city,investors,round,amount
05-08-2015,Doormint,Hyperlocal Handyman services,,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,24.6
05-08-2015,NightStay,hotel booking app,,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,4.1
05-08-2015,Sunday Realty Solutions,Tech Platform for property brokers,,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,6.44
06-08-2015,Appvigil,App security testing platform,,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,4.1
06-08-2015,practo,Doctor Appointment booking app,,Bengaluru,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,737.91
06-08-2015,Ketto,Crowd funding platform,,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,5.74
06-08-2015,Ezetap,Mobile based PoS solution,,Bengaluru,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,204.97
07-08-2015,Carl's Jr,Fast food Chain Franchisee,,Gurgaon,YouWeCan Ventures,Seed Funding,5.17
07-08-2015,EasyRewardz,Loyalty Programs & Reward Points,,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,4.1
10-08-2015,MyTaxiIndia,Taxi Rental platform,,Gurgaon,"Nihon Kotsu,",Private Equity,4.1
10-08-2015,eSadar,E-Commerce,,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding,0.66
10-08-2015,MyPoolin,mobile social network,,New Delhi,QPrize from Qualcomm Ventures,Seed Funding,2.05
10-08-2015,Nearbuy,Hyper-Local E-Commerce,,New Delhi,Sequoia Capital,Private Equity,131.18
10-08-2015,Inkmonk,Online printing marketplace,,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Seed Funding,2.05
10-08-2015,ToneTag,mobile payment software platform,,Bengaluru,Reliance Capital Venture,Private Equity,8.2
10-08-2015,Grey Orange,Automated Storage & Warehousing Solution,,Gurgaon,Tiger Global Management,Private Equity,245.97
11-08-2015,Livspace,Home Design &cor solutions,,Bengaluru,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,65.59
11-08-2015,WOW! MOMO,Quick Service Restaurant Chain,,Kolkata,Indian Angel Network,Seed Funding,13.12
11-08-2015,RainCan,Subscription based Online Grocery platform,,Pune,Ajeet Khurana & Others,Seed Funding,0.82
11-08-2015,Allygrow Technologies,engineering services company,,Mumbai,Zodius Technology Fund,Private Equity,163.98
11-08-2015,Infogain,Business and IT consulting,,New Delhi / US,ChrysCapital,Private Equity,516.54
12-08-2015,OneAssist,Credit Card Fraud protection solutions,,Mumbai,"Sequoia Capital, Lightspeed Ventures",Private Equity,61.49
12-08-2015,BigBasket,Online & mobile Grocery store,,Bengaluru,Bessemer Venture Partners,Private Equity,409.95
12-08-2015,Sheroes,Career Community for Women,,Noida,"Quintillion Media, 500 Startups",Seed Funding,6.31
12-08-2015,Scripbox,Mutual Fund Investing platform,,Bengaluru,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",Private Equity,20.5
13-08-2015,etaout,E-Commerce Marketing Software Platform,,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham & Group of other Angel investors",Seed Funding,4.1
13-08-2015,IFMR Holdings,Financial Inclusion platform,,Chennai,"Accion, LeapFrog Investments, Lok Capital",Private Equity,204.97
13-08-2015,Agrostar,Mobile Commerce for Farmers,,Pune,IDG Ventures,Private Equity,32.8
14-08-2015,VoxWeb,Picture based Social App,,Mumbai,Jitendra Gupta & others,Seed Funding,0.82
14-08-2015,Trukky,Logistics service platform,,Ahmedabad,"Gujarat based angel investors, MMY co-Founder",Seed Funding,2.01
17-08-2015,Edu4Share,Exam Preparation Platform,,New Delhi,Nalin Jain & other angel investors,Seed Funding,1.8
17-08-2015,Sampurnearth,Waste Management Solutions,,Mumbai,"Intellecap Impact Investment Network, family office fund",Seed Funding,1.31
17-08-2015,ShadowFax,on-demand delivery service,,Gurgaon,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik",Seed Funding,2.54
18-08-2015,Roposo,Fashion Discovery platform,,Gurgaon,Tiger Global,Private Equity,122.98
18-08-2015,IntelligenceNODE,Data Analytics Platform,,Mumbai,"New Enterprise Associates, Orios Venture Partners",Private Equity,34.44
18-08-2015,HyperVerge,Deep Learning Cloud Algorithms,,Chennai,"NEA, Milliways Ventures, Naya Ventures",Seed Funding,8.2
18-08-2015,Zoojoo.be,Corporate Wellness App,,Bengaluru,RoundGlass Partners,Private Equity,8.2
19-08-2015,TimeSaverz,"Hyperlocal Maintenance, Repair & Cleaning services",,Mumbai,Unilazer Ventures,Private Equity,19.68
19-08-2015,MebelKart,Online Furniture Marketplace,,Bengaluru,AskMe,Private Equity,163.98
20-08-2015,LabsAdvisor,Online Diagnostic Tests Marketplace,,New Delhi,Group of Angel Investors,Seed Funding,1.28
20-08-2015,Flatpebble,Online marketplace for Photographers,,Hyderabad,Indian Angel Network,Seed Funding,4.92
20-08-2015,Bluegape.com,Visual Blogging platform,,New Delhi,"ah! Ventures, Times Internet, Rudy Gopalakrishnan",Seed Funding,4.92
21-08-2015,ePoise,Job Search Platform,,Bengaluru,"Orios Venture Partners, Amit Ranjan & others",Seed Funding,4.1
24-08-2015,Jolly Food Fellow,Food Customer analytics platform,,Ahmedabad,The 1947,Seed Funding,2.46
24-08-2015,BookMeIn,Professional Service Appointment booking service,,Mumbai,Ajmera Group of Companies,Seed Funding,3.28
25-08-2015,Qyk App,On-Demand App based Professional service provider,,Bengaluru,"GrowX ventures, Tracxn Labs, Powai Lake Ventures, and Sahil Barua",Private Equity,8.2
25-08-2015,EazyDiner,Restaurant Reservation Platform,,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,24.6
25-08-2015,RevX,Cross-channel CRM platform,,Mumbai,"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital",Private Equity,32.8
25-08-2015,ICustomMadeIt,Professional Custom creators Marketplace,,Pune,Group of Angel Investors,Seed Funding,2.05
26-08-2015,PickMyLaundry,on-Demand Washing & Dry-Cleaning,,New Delhi,GHV Accelerator,Seed Funding,0.82
26-08-2015,Belita,On-Demand Beauty Service,,Mumbai,"India Quotient, LetsVenture investors, Lead Angels",Seed Funding,3.28
26-08-2015,FoodTalkIndia,Online Food Community Platform,,Gurgaon,Undisclosed Investor,Seed Funding,4.1
28-08-2015,Vyomo,Beauty & Lifestyle Mobile Marketplace,,Bengaluru,Rocket Internet,Private Equity,16.4
28-08-2015,RollMafia,QSR Restaurant Chain,,Pune,Equentia Natural Resources,Seed Funding,1.31
31-08-2015,DropKaffe,Online Coffee Delivery platform,,Bengaluru,"Manish Singhal, P39 Capital & Others",Seed Funding,2.46
31-08-2015,Reverie,Language Localization Cloud platform,,Bengaluru,"Aspada Investment Advisors, Qualcomm Ventures",Private Equity,32.8
01-09-2015,TOFlo,FinTech Startup Incubation platform,,Mumbai,Tania Johny Palathinkal,Seed Funding,0.82
01-09-2015,Stylecracker,Personalized Styling platform,,Mumbai,Group of HNI investors,Private Equity,8.2
01-09-2015,Luxuryhues,Luxury goods Shopping Platform,,Gurgaon,Reliance Capital,Private Equity,7.38
02-09-2015,Zivame,Online Lingerie Marketplace,,Bengaluru,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,327.96
02-09-2015,Capillary Tech,Cloud software solutions,,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,368.96
03-09-2015,Jobspire,Job Search Platform,,Bengaluru,Purvi Capital,Seed Funding,2.13
03-09-2015,Vistaar Finance,Small Business Financing (NBFC),,Bengaluru,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital, Lok Capital",Private Equity,327.96
04-09-2015,Clapsnslaps,Online Movie Review Platform,,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,1.23
04-09-2015,Blubox,E-Commerce Brands Full Service Agency,,Mumbai,Ashish Jhalani,Seed Funding,0.82
04-09-2015,RoomCentral,Cloud-based Hotel Booking Platform,,Bengaluru,Karanpal Singh,Seed Funding,16.4
07-09-2015,YouthKiAwaaz,Community Driven News/Views Platform,,New Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,4.92
07-09-2015,Prozo,Study Material Marketplace,,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Seed Funding,1.68
07-09-2015,Zomato,Restaurant Ratings & Reviews platform,,Gurgaon,"Temasek, Vy Capital",Private Equity,491.94
07-09-2015,Sahayog Dairy,Dairy Based Product Manufacturer,,Bhopal,Acumen Fund,Private Equity,14.76
08-09-2015,MockBank,Government Test Preparation platform,,Bengaluru,Blume Ventures,Seed Funding,3.28
10-09-2015,OnlineTyari,Multilingual Test Preparation Platform,,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,6.31
10-09-2015,IndustryBuying,Industrial Tools Marketplace,,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,75.43
10-09-2015,The/Nudge Foundation,Non Profit Organization to alleviate poverty,,Bengaluru,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,2.58
11-09-2015,FitMeIn,Gym & Fitness Studios Subscription platform,,New Delhi,Green House Ventures,Seed Funding,0.82
12-09-2015,CredR,Used Vehicles Marketplace,,Mumbai,Eight Road Ventures,Private Equity,122.98
14-09-2015,CanvasFlip,Mobile App testing platform,,Hyderabad,Bessemer Venture Partners,Seed Funding,9.84
14-09-2015,Shadowfax,Hyperlocal Delivery Services,,Gurgaon,Eight Roads Ventures,Private Equity,73.79
14-09-2015,UE Life Sciences,Early Cancer Detection Solutions,,US/India,"Aarin Capital, Unitus Seed Fund",Private Equity,24.6
14-09-2015,Ola Cabs,Cab rental Mobile app,,Bengaluru,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,1844.78
15-09-2015,Coverfox,Online Insurance Distribution Platform,,Mumbai,Cataraman Ventures,Private Equity,16.4
15-09-2015,MoEngage,Mobile Marketing Automation Platform,,Bengaluru,"Helion Venture Partners, Exfinity Ventures",Private Equity,34.85
15-09-2015,Tea Trails,Chain of Tea Cafes,,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed Funding,8.2
15-09-2015,Room on Call,Branded Budget Hotel Marketplace,,Noida,Payal Syal,Seed Funding,2.46
16-09-2015,ChaiPoint,Food Subscription platform,,Bengaluru,Eight Roads Ventures,Private Equity,81.99
16-09-2015,WedmeGood.com,Wedding Planning Platform,,Gurgaon,Indian Angel Network,Seed Funding,3.36
16-09-2015,XSTOK,B2B Mobile Auction Marketplace,,Mumbai,Oliphans Capital,Seed Funding,3.69
17-09-2015,YepMe,Private label Fashion E-Tailer,,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,614.92
17-09-2015,Bueno,Online Food ordering & delivery,,Gurgaon,High Networth Individuals (No details),Seed Funding,4.92
18-09-2015,Plabro,Real Estate Broker Platform App,,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,2.87
18-09-2015,CureJoy,Online Health & Wellness platform,,Bengaluru,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,9.43
18-09-2015,Briston Technomach,Internet of Things platform,,New Delhi,Undisclosed,Seed Funding,1.23
18-09-2015,LabStreet,Diagnostic Labs aggregator platform,,Gurgaon,Multiple investors,Seed Funding,1.23
21-09-2015,Portea Medical,Home Medical Care Services,,Bengaluru,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,307.46
21-09-2015,Neotrade Analytics,Real-Time stock data platform,,Bengaluru,Rainmatter,Seed Funding,1.93
21-09-2015,LafaLafa,coupons and cashback aggregator app,,Mumbai,500 Startups,Seed Funding,1.02
22-09-2015,Bestdealfinance,Financial Services Portal,,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,24.6
22-09-2015,Virtual Logic,"virtual reality, 3d simulation and stereoscopic products",,Bengaluru,Swarnim Multiventures,Private Equity,6.56
22-09-2015,Furdo,Online Interior Designing platform,,Bengaluru,Bhavdeep Reddy,Seed Funding,3.28
22-09-2015,LogiNext,End-to-end Logistics platform,,Mumbai,Paytm,Private Equity,81.99
22-09-2015,Korra,Private Label Apparel sales,,New Delhi,Asha Jadeja Motwani & Others,Seed Funding,2.46
23-09-2015,SilverPush,Cross-device retargeting platform,,Gurgaon / SFO,M&S Partners,Private Equity,9.84
23-09-2015,Juggernaut,Digital & Physical Publishing platform,,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,18.45
23-09-2015,InnerChef,Food Delivery Platform,,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others",Private Equity,14.35
24-09-2015,Quintype,Data Driven Publishing platform,,Bengaluru,Raghav Bahl,Private Equity,27.06
24-09-2015,Capabiliti,Employee OnBoarding & Orientation platform,,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding,3.28
24-09-2015,Fourth Partner Energy,Solar Power Solutions company,,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,16.4
24-09-2015,Licious,Online Meat Ordering platform,,Bengaluru,"Kanwaljit Singh, TV Mohandas Pai",Seed Funding,8.2
28-09-2015,Ola Cabs,Cab Booking app platform,,Bengaluru,Didi Kuaidi,Private Equity,245.97
29-09-2015,Paytm,E-Commerce & M-Commerce platform,,New Delhi,"Alibaba Group, Ant Financial",Private Equity,5575.32
29-09-2015,Inmobi,Mobile Advertising platform,,Bengaluru,Tennenbaum Capital Partners & Others,Private Equity,819.9
29-09-2015,Peppertap,Hyperlocal Grocery Delivery,,Gurgaon,"Sequoia India, SAIF Partners.",Private Equity,295.16
29-09-2015,Zakoopi,Fashion Discovery platform,,New Delhi,Uniqorn Ventures,Seed Funding,2.87
30-09-2015,Infoworks,Big Data Management Platform,,Bengaluru / US,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,41
30-09-2015,RedDoorz,Budget Accommodation Platform,,Noida,Jungle Ventures,Seed Funding,8.2
30-09-2015,Eywa Media,Digital Signal processing platform,,Bengaluru,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures",Seed Funding,8.2
01-10-2015,Muvizz,Movie-on-demand platform,,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding,2.87
02-10-2015,Shopalyst,Product discovery & recommendation platform,,Bengaluru,Kalaari Capital,Private Equity,16.4
03-10-2015,Chillr,Mobile Payments App,,Mumbai,Sequoia Capital,Private Equity,49.19
05-10-2015,Nykaa,Beauty & Wellness Products E-Tailer,,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,77.89
05-10-2015,Voylla,Fashion jewelry and accessories E-Tailer,,Jaipur,Peepul Capital,Private Equity,122.98
05-10-2015,IndiaLends,Online Consumer Lending platform,,New Delhi,"DSG consumer Partners, Paragon Partners",Private Equity,8.2
05-10-2015,Rock N Shop,Premium Apparel shopping portal,,New Delhi,High Networth Individuals (undisclosed),Seed Funding,1.23
06-10-2015,DocPlexus,Exclusive Platform for Doctors & Healthcare professionals,,Pune,"Uniqorn ventures, ASP Consulting",Seed Funding,5.74
06-10-2015,WorkIndia,Job Board,,Mumbai,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",Seed Funding,4.1
06-10-2015,SportzVillage,Sports Management & Physical Education Business,,Bengaluru,Gaja Capital Private Equity Fund,Private Equity,81.99
06-10-2015,Burger Singh,QSR & Online delivery portal,,Gurgaon,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Seed Funding,4.1
06-10-2015,Welcome Cure,Online Homeopathy Clinic,,Mumbai,Unnamed Media house and HNIs,Private Equity,49.19
07-10-2015,SchoolGuru,E-Learning Service Provider,,Mumbai,High Networth Individuals from India & US,Private Equity,24.6
07-10-2015,GoJavas,Delivery & Logistics Service provider,,Gurgaon,Snapdeal,Private Equity,163.98
08-10-2015,ZuperMeal,Home Cooked Food marketplace & Delivery,,Mumbai,"Sanjeev Kapoor, Ravi Saxena & Others",Private Equity,16.4
08-10-2015,Cube26,Gesture based Mobile Development,,New Delhi,"Tiger Global Management, Flipkart",Private Equity,63.13
08-10-2015,Grabhouse,Rental Accommodation Search platform,,Bengaluru,Sequoia and Kalaari Capital.,Private Equity,81.99
08-10-2015,Quifers,Logistics Tech Platform,,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding,2.54
09-10-2015,Stockroom.io,Developer Portfolio Showcase platform,,Hyderabad,Undisclosed Investors,Seed Funding,0.57
09-10-2015,Cloud Lending,End-to-End Lending platform,,Bengaluru / San Mateo,SF Capital Group,Private Equity,65.59
09-10-2015,Inayo,on-demand healthcare marketplace,,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Seed Funding,2.46
09-10-2015,Kulzy,Advertising & Marketing Community Networking platform,,New Delhi,"Seedfund, Bedrock Ventures",Seed Funding,8.2
09-10-2015,Zeppery,Food Ordering & Delivery App,,New Delhi,Suyash Sharma,Seed Funding,0.63
12-10-2015,Zify,Ride Sharing platform,,Hyderabad,Sean OSullivan & Others,Seed Funding,1.56
12-10-2015,Gridle,Cloud Based Collaboration platform,,Ahmedabad,LetsVenture,Seed Funding,0.82
13-10-2015,Voodoo,Mobile Only Shopping Assistant,,New Delhi,SAIF Partners,Seed Funding,8.2
13-10-2015,Lookup,Mobile Messaging Assistant App,,Bengaluru,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,20.5
14-10-2015,AskMyGift,Personalized Wish List creator app,,Noida,Turning Ideas,Seed Funding,0.41
14-10-2015,Zappfresh,Raw Meat & Ready to eat food E-Tailer,,Gurgaon,Undisclosed Investors,Seed Funding,0.63
17-10-2015,S-Cube Futuretech,Structural & Civil Engg Service Automation,,Mumbai,Parampara Capital,Private Equity,8.2
19-10-2015,Citrus Payment,Payments Solution platform,,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,204.97
19-10-2015,Holidify,Travel Destination Discovery platform,,New Delhi,Aarti Group,Seed Funding,0.82
20-10-2015,Opinio,Last Mile Delivery Service,,Bengaluru,"Delhivery, Sands Capital and Accel Partners",Private Equity,57.39
20-10-2015,Attune Technologies,Healthcare IT Solutions & services,,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,81.99
21-10-2015,AgentDesks,Real Estate Mobile CRM,,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding,24.19
21-10-2015,White Owl Brewery,Micro-Brewery,,Mumbai,"Arihant Patni, RAAY Global Investments",Private Equity,12.54
21-10-2015,MealHopper,Home Made Food Marketplace,,Gurgaon,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding,0.82
21-10-2015,Zenify.in,residential rental management platform,,Bengaluru,"Atul Jalan, Shrikanth & Bharath",Seed Funding,5.25
23-10-2015,Medd,Personal Diagnostic Mobile App,,Mumbai,Group of Angel investors,Seed Funding,1.23
23-10-2015,Leaping Caravan,Online food ordering & Delivery service,,Gurgaon,Group of Angel investors,Seed Funding,1.23
23-10-2015,Frsh,Online food ordering & Delivery service,,Gurgaon,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,8.2
23-10-2015,Qik Stay,Hotel Aggregator & booking platform,,New Delhi,ID Enablers Pvt Ltd,Seed Funding,2.05
