date,startup,vertical,subvertical,city,investors,round,amount
30-11-2016,Indofash,E-Commerce,Ethnic Indian Fashion Marketplace,Bengaluru,"Shekhar Sahu, Nitesh Pant",Seed Funding,1.23
30-11-2016,Entropika,Technology,"AI, Machine learning Solutions",Bengaluru,"Dileep Bhatt, Milind Chaudhary",Seed Funding,1.64
30-11-2016,MarianaIQ,Technology,AI-driven B2B marketing platform,Bengaluru,Exfinity Venture Partners,Private Equity,16.4
30-11-2016,Chai Thela,Food & Beverages,Quick Service Restaurants,Noida,Quarizon,Seed Funding,1.79
30-11-2016,Interviewpad,Technology,Engineering Interview facilitation platform,Pune,Krishna Rokhale,Seed Funding,0.82
30-11-2016,Math Buddy,Consumer Internet,Online Math Learn,Vadodara,Menterra Social Impact Fund,Seed Funding,3.61
30-11-2016,Pulse,Consumer Internet,Campus Social Networking App,Bengaluru,SAIF Partners,Private Equity,4.1
30-11-2016,Carcrew.in,Consumer Internet,Online Car repair Marketplace,Mumbai,TVS Group,Seed Funding,4.1
01-12-2016,SidQam,Technology,Healthcare Software System,Noida,"SQue Capital, Grace Capital Ventures, Soham Vencaps",Private Equity,9.84
01-12-2016,India Lends,Consumer Internet,Online Instant personal Loan provider,New Delhi,"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners",Private Equity,32.8
01-12-2016,Slide App,Consumer Internet,Lock screen Rewards mobile app,New Delhi,Songhyun Investment,Private Equity,29.52
02-12-2016,Badiyajobs,Consumer Internet,Entry-Level job Seekers platform,New Delhi,Undisclosed,Seed Funding,0.82
02-12-2016,TYGR,Technology,Transport and logistics mobile App,Mumbai,Franchise India,Private Equity,24.6
05-12-2016,UrDoorStep,E-Commerce,Online Grocery Store,Bengaluru,Lakshmi Vilas Bank & undisclosed HNIs,Private Equity,11.48
06-12-2016,Diro Labs,Consumer Internet,Mobile Contacts Management app,New Delhi,Info Edge (India),Seed Funding,1.21
07-12-2016,Revv,Consumer Internet,Self-Driven Car Services booking portal,New Delhi,Edelweiss Private Equity,Private Equity,73.79
07-12-2016,WealthApp,Consumer Internet,Online Investment Advisory platform,Bengaluru,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar, Ramkumar Nishtal, Arjun Sharmaa",Seed Funding,3.61
08-12-2016,Zest Money,Consumer Internet,Online Consumer Lending platform,Mumbai,PayU,Private Equity,53.29
08-12-2016,GoMechanic,Consumer Internet,Online Car servicing Booking platform,Gurgaon,Venture Catalysts,Seed Funding,2.05
09-12-2016,Stalk Buy Love,E-Commerce,Fashion Apparel E-Tailer,New Delhi,Kalaari Capital,Private Equity,49.19
09-12-2016,Wittyparot,Technology,Content Management & Productivity platform,Bengaluru,Mumbai Angels,Seed Funding,3.69
